,Gender,Occupation Status,Age,Education,Marital_Status,Dependants,Salary,State_Code,Current Loan,Tenure,Previous Loans,Defaulted,Status
0,0,1,25,0,0,0,24261,3,0,0,0,0,0
1,0,2,38,1,0,1,132213,5,0,0,0,0,1
2,1,0,47,1,0,1,5455,2,0,0,0,0,0
3,1,1,33,1,1,0,385379,5,1,3,2,1,1
4,1,1,29,0,1,4,24261,3,0,0,0,0,0
5,0,1,26,0,1,4,385379,5,0,0,0,0,1
6,0,2,47,1,1,5,94571,4,0,0,0,0,0
7,0,1,39,1,1,5,99468,2,1,1,3,0,0
8,0,1,25,1,0,0,385379,5,0,0,1,0,1
9,0,2,44,0,1,1,132213,5,0,0,2,0,1
10,0,2,37,1,1,5,38252,3,1,2,1,1,0
11,0,2,41,1,1,4,38252,3,1,4,1,1,0
12,0,1,29,1,1,2,99468,2,0,0,0,0,0
13,0,1,29,1,1,5,385379,5,0,0,0,0,1
14,0,2,42,1,1,4,94571,4,0,0,0,0,0
15,0,1,39,1,1,5,203437,4,1,1,1,1,1
16,1,2,22,0,0,0,94571,4,0,0,0,0,0
17,0,1,26,1,0,0,385379,5,1,1,1,0,1
18,1,0,42,1,1,3,12730,5,0,0,2,1,0
19,0,1,21,0,0,1,385379,5,0,0,0,0,1
20,1,1,40,1,1,0,203437,4,1,1,1,0,1
21,1,1,39,0,1,4,385379,5,0,0,1,0,1
22,1,0,20,0,1,1,5455,2,0,0,1,1,0
23,1,2,42,1,1,3,132213,5,0,0,1,1,1
24,0,2,30,1,1,0,38252,3,0,0,2,0,0
25,1,2,48,0,1,1,132213,5,0,0,0,0,1
26,0,0,24,0,0,0,12730,5,0,0,0,0,0
27,0,1,20,0,0,1,203437,4,1,2,3,1,1
28,0,2,46,0,1,2,132213,5,0,0,0,0,1
29,0,1,39,0,1,2,203437,4,0,0,1,1,1
30,0,0,19,0,1,0,12730,5,0,0,0,0,0
31,0,2,30,0,1,2,132213,5,1,2,4,0,1
32,0,2,44,0,1,4,132213,5,1,4,1,1,1
33,0,1,40,0,0,1,385379,5,0,0,0,0,1
34,0,2,47,1,1,3,132213,5,0,0,0,0,1
35,0,1,30,0,1,1,203437,4,0,0,0,0,1
36,1,2,43,1,1,1,132213,5,1,3,1,1,1
37,1,1,35,1,0,1,385379,5,0,0,0,0,1
38,0,1,45,1,1,2,385379,5,0,0,0,0,1
39,1,2,45,1,1,5,38252,3,0,0,1,0,0
40,0,1,49,0,0,1,99468,2,0,0,0,0,0
41,0,2,28,0,1,4,132213,5,0,0,0,0,1
42,1,1,46,1,1,1,99468,2,0,0,0,0,0
43,1,2,46,1,1,3,94571,4,0,0,0,0,0
44,0,2,34,0,0,0,38252,3,0,0,1,0,0
45,1,2,33,1,0,1,38252,3,1,4,1,1,0
46,0,1,48,1,1,2,99468,2,0,0,0,0,0
47,1,2,48,1,1,0,132213,5,0,0,0,0,1
48,0,1,33,0,0,1,99468,2,0,0,1,0,0
49,0,1,48,1,0,0,385379,5,0,0,1,1,1
50,1,2,37,0,1,1,94571,4,1,2,1,0,0
51,0,2,30,1,0,1,94571,4,1,2,1,1,0
52,0,1,41,1,1,4,385379,5,1,3,2,0,1
53,1,2,38,1,0,1,132213,5,0,0,1,0,1
54,0,2,43,0,0,0,94571,4,1,2,2,1,0
55,0,0,21,0,0,0,19999,4,0,0,2,0,0
56,0,2,23,0,1,3,94571,4,0,0,1,1,0
57,1,0,37,1,1,3,6959,3,0,0,1,1,0
58,0,2,25,1,0,0,38252,3,0,0,1,1,0
59,0,2,39,0,0,1,132213,5,1,4,2,0,1
60,1,1,27,0,1,3,99468,2,1,3,4,0,0
61,0,2,25,0,0,0,38252,3,0,0,0,0,0
62,0,1,36,1,1,0,203437,4,0,0,1,0,1
63,0,2,22,0,0,1,94571,4,0,0,0,0,0
64,0,2,43,0,1,4,132213,5,1,1,2,1,1
65,0,2,46,0,1,0,132213,5,1,1,4,0,1
66,1,2,32,0,1,5,38252,3,0,0,1,0,0
